Year,AutoPropDiesel,AutoPropCng,LtTrkPropDiesel,LtTrkPropCng,GasPropEth,DieselPropBio
1990,0.007,0,0.04,0,0,0
1995,0.007,0,0.04,0,0,0
2000,0.007,0,0.04,0,0,0
2005,0.007,0,0.04,0.002,0.1,0.01
2010,0.007,0,0.04,0.002,0.1,0.05
2015,0.007,0,0.04,0.002,0.1,0.05
2020,0.007,0,0.04,0.038521739,0.1,0.05
2025,0.007,0,0.04,0.075043478,0.1,0.05
2030,0.007,0,0.04,0.111565217,0.1,0.05
2035,0.007,0,0.04,0.148086957,0.1,0.05
2038,0.007,0,0.04,0.17,0.1,0.05
2040,0.007,0,0.04,0.184608696,0.1,0.05
2045,0.007,0,0.04,0.221130435,0.1,0.05
2050,0.007,0,0.04,0.257652174,0.1,0.05
