District,Type,2005,2010,2038,2050
01_01_EP_NW,Metropolitan,742.25,742.25,840.17,840.17
01_01_EP_NW,Rural,5228.62,5228.62,5130.69,5130.69
01_01_EP_NW,Town,0,0,0,0
02_02_WC_Ctr,Metropolitan,676.09,676.09,676.09,676.09
02_02_WC_Ctr,Rural,1121.83,1121.83,1121.83,1121.83
02_02_WC_Ctr,Town,0,0,0,0
03_03_CP_W,Metropolitan,828.47,828.47,1477.79,1477.79
03_03_CP_W,Rural,5301.52,5301.52,4652.2,4652.2
03_03_CP_W,Town,0,0,0,0
04_04_JACK,Metropolitan,395.96,395.96,536,536
04_04_JACK,Rural,12901.68,12901.68,12761.65,12761.65
04_04_JACK,Town,0,0,0,0
05_05_WMED_NE,Metropolitan,859.4640704,859.4640704,1032.43,1032.43
05_05_WMED_NE,Rural,172.9709032,172.9709032,0,0
05_05_WMED_NE,Town,0,0,0,0
06_06_EMED_NE,Metropolitan,0,0,1624.47,1624.47
06_06_EMED_NE,Rural,8021.8,8021.8,6397.34,6397.34
06_06_EMED_NE,Town,0,0,0,0
07_07_PHX_Ctr,Metropolitan,965.38,965.38,932.84,932.84
07_07_PHX_Ctr,Rural,1575.7,1575.7,1608.23,1608.23
07_07_PHX_Ctr,Town,0,0,0,0
08_08_TAL_Ctr,Metropolitan,1019.2,1019.2,1019.2,1019.2
08_08_TAL_Ctr,Rural,2912.23,2912.23,2912.23,2912.23
08_08_TAL_Ctr,Town,0,0,0,0
09_09_ASH_N,Metropolitan,1118.12,1118.12,1118.12,1118.12
09_09_ASH_N,Rural,335.76,335.76,335.76,335.76
09_09_ASH_N,Town,0,0,0,0
10_10_TOLO,Metropolitan,54.4,54.4,54.4,54.4
10_10_TOLO,Rural,6187.94,6187.94,6187.94,6187.94
10_10_TOLO,Town,0,0,0,0
11_11_NMED_N,Metropolitan,2267.132995,2267.132995,5222.93,5222.93
11_11_NMED_N,Rural,3882.711806,3882.711806,926.92,926.92
11_11_NMED_N,Town,0,0,0,0
09_12_ASH_Ctr,Metropolitan,637.29,637.29,649.57,649.57
09_12_ASH_Ctr,Rural,45.93,45.93,33.66,33.66
09_12_ASH_Ctr,Town,0,0,0,0
03_13_CP_E,Metropolitan,496.78,496.78,1006.37,1006.37
03_13_CP_E,Rural,3281.03,3281.03,2771.44,2771.44
03_13_CP_E,Town,0,0,0,0
05_14_WMED_SE,Metropolitan,1094.393903,1094.393903,1440.818532,1440.818532
05_14_WMED_SE,Rural,941.724623,941.724623,595.2999934,595.2999934
05_14_WMED_SE,Town,0,0,0,0
05_15_WMED_E,Metropolitan,869.6,869.6,869.6,869.6
05_15_WMED_E,Rural,0,0,0,0
05_15_WMED_E,Town,0,0,0,0
06_16_EMED_NW,Metropolitan,859.56,859.56,859.56,859.56
06_16_EMED_NW,Rural,0,0,0,0
06_16_EMED_NW,Town,0,0,0,0
06_17_EMED_SW,Metropolitan,921.63,921.63,1324.95,1324.95
06_17_EMED_SW,Rural,403.32,403.32,0,0
06_17_EMED_SW,Town,0,0,0,0
11_18_NMED_SW,Metropolitan,640.79,640.79,640.79,640.79
11_18_NMED_SW,Rural,0,0,0,0
11_18_NMED_SW,Town,0,0,0,0
09_19_ASH_SW,Metropolitan,784.62,784.62,784.62,784.62
09_19_ASH_SW,Rural,3225.18,3225.18,3225.18,3225.18
09_19_ASH_SW,Town,0,0,0,0
06_20_EMED_N,Metropolitan,963.7682601,963.7682601,1138.83,1138.83
06_20_EMED_N,Rural,175.0569068,175.0569068,0,0
06_20_EMED_N,Town,0,0,0,0
01_21_EP_SE,Metropolitan,752.29,752.29,1254.43,1254.43
01_21_EP_SE,Rural,4971.97,4971.97,4469.84,4469.84
01_21_EP_SE,Town,0,0,0,0
02_22_WC_S,Metropolitan,1934.24,1934.24,2361.12,2361.12
02_22_WC_S,Rural,9725.79,9725.79,9298.91,9298.91
02_22_WC_S,Town,0,0,0,0
06_23_EMED_Ctr,Metropolitan,678.56,678.56,678.56,678.56
06_23_EMED_Ctr,Rural,0,0,0,0
06_23_EMED_Ctr,Town,0,0,0,0
03_24_CP_N,Metropolitan,530.8,530.8,660.14,660.14
03_24_CP_N,Rural,367.15,367.15,237.81,237.81
03_24_CP_N,Town,0,0,0,0
03_25_CP_S,Metropolitan,667.73,667.73,667.73,667.73
03_25_CP_S,Rural,0,0,0,0
03_25_CP_S,Town,0,0,0,0
05_26_WMED_NW,Metropolitan,895.08,895.08,1102.91,1102.91
05_26_WMED_NW,Rural,4394.53,4394.53,4186.7,4186.7
05_26_WMED_NW,Town,0,0,0,0
05_27_WMED_Ctr,Metropolitan,611.58,611.58,611.58,611.58
05_27_WMED_Ctr,Rural,0,0,0,0
05_27_WMED_Ctr,Town,0,0,0,0
06_28_EMED_SE,Metropolitan,0,0,1951.19,1951.19
06_28_EMED_SE,Rural,3967.49,3967.49,2016.31,2016.31
06_28_EMED_SE,Town,0,0,0,0
07_29_PHX_W,Metropolitan,0,0,0,0
07_29_PHX_W,Rural,6291.35,6291.35,6291.35,6291.35
07_29_PHX_W,Town,0,0,0,0
07_30_PHX_E,Metropolitan,298.27,298.27,298.27,298.27
07_30_PHX_E,Rural,5220.14,5220.14,5220.14,5220.14
07_30_PHX_E,Town,0,0,0,0
09_31_ASH_CtrE,Metropolitan,991.45,991.45,1054.81,1054.81
09_31_ASH_CtrE,Rural,285.87,285.87,222.51,222.51
09_31_ASH_CtrE,Town,0,0,0,0
11_32_NMED_SE,Metropolitan,576.41,576.41,576.41,576.41
11_32_NMED_SE,Rural,0,0,0,0
11_32_NMED_SE,Town,0,0,0,0
08_33_TAL_E,Metropolitan,0,0,0,0
08_33_TAL_E,Rural,11129.08,11129.08,11129.08,11129.08
08_33_TAL_E,Town,0,0,0,0
08_34_TAL_W,Metropolitan,0,0,0,0
08_34_TAL_W,Rural,6352.21,6352.21,6352.21,6352.21
08_34_TAL_W,Town,0,0,0,0
09_35_ASH_E,Metropolitan,0,0,281.15,281.15
09_35_ASH_E,Rural,20588.14,20588.14,20306.99,20306.99
09_35_ASH_E,Town,0,0,0,0
09_36_ASH_NW,Metropolitan,669.62,669.62,669.62,669.62
09_36_ASH_NW,Rural,2260.13,2260.13,2260.13,2260.13
09_36_ASH_NW,Town,0,0,0,0
05_37_WMED_SW,Metropolitan,769.72,769.72,900.42,900.42
05_37_WMED_SW,Rural,1824.78,1824.78,1694.08,1694.08
05_37_WMED_SW,Town,0,0,0,0
05_38_WMED_ESE,Metropolitan,646.33,646.33,646.33,646.33
05_38_WMED_ESE,Rural,0,0,0,0
05_38_WMED_ESE,Town,0,0,0,0
06_39_EMED_W,Metropolitan,830.8680548,830.8680548,830.8680548,830.8680548
06_39_EMED_W,Rural,59.26775554,59.26775554,59.26775554,59.26775554
06_39_EMED_W,Town,0,0,0,0
