District,OwnRatio-2005,OwnRatio-2010,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2010,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2010,PropSuitable-2038,PropSuitable-2050
01_01_EP_NW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
02_02_WC_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
03_03_CP_W,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
04_04_JACK,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_05_WMED_NE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_06_EMED_NE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
07_07_PHX_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
08_08_TAL_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_09_ASH_N,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
10_10_TOLO,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
11_11_NMED_N,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_12_ASH_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
03_13_CP_E,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_14_WMED_SE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_15_WMED_E,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_16_EMED_NW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_17_EMED_SW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
11_18_NMED_SW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_19_ASH_SW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_20_EMED_N,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
01_21_EP_SE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
02_22_WC_S,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_23_EMED_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
03_24_CP_N,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
03_25_CP_S,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_26_WMED_NW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_27_WMED_Ctr,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_28_EMED_SE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
07_29_PHX_W,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
07_30_PHX_E,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_31_ASH_CtrE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
11_32_NMED_SE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
08_33_TAL_E,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
08_34_TAL_W,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_35_ASH_E,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
09_36_ASH_NW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_37_WMED_SW,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
05_38_WMED_ESE,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
06_39_EMED_W,1,1,1,1,20,20,20,20,0.039,0.039,0.05,0.05
