"Division","IncProp"
"D1",4.94121585589222
"D10",2.45515649910101
"D101",1.64271798128543
"D102",1.63373495809027
"D11",1.27265615535832
"D111",1.47136323218603
"D112",1.83908277881871
"D113",1.68548873567355
"D114",1.63621124410601
"D12",1.81089543680152
"D121",1.43001434817542
"D122",1.30553372858501
"D123",1.627805448514
"D124",1.51919236258322
"D131",1.81607260641005
"D132",2.31956943416742
"D133",1.53895138871831
"D134",1.98353523378046
"D141",2.43958694394933
"D142",2.98250929259068
"D143",3.91902750046096
"D15",2.30304114576924
"D151",1.97706752345586
"D152",1.82110840541968
"D153",2.22353501354472
"D16",1.93196507018598
"D163",1.80847636997082
"D164",2.06470231783462
"D17",2.48989629591889
"D171",2.09293147309026
"D172",1.61706839704891
"D173",1.78393476951096
"D18",2.73626576517725
"D181",1.23968312201667
"D182",1.75737286713323
"D191",1.91738337180184
"D192",1.67226610921084
"D2",4.69467914171498
"D21",1.316372703557
"D22",1.352876200541
"D23",1.50597273504029
"D24",1.94034457930912
"D3",4.14779205683236
"D31",3.02214926366048
"D32",4.14237036140224
"D33",2.70999219388035
"D34",1.88398931939904
"D35",2.6173551795153
"D36",2.00761258630902
"D4",4.9580055826084
"D41",3.29906000490797
"D43",3.08351621114994
"D44",2.25798107004005
"D45",2.08388097957683
"D46",2.81314599596953
"D47",1.23602153828074
"D48",1.93583780720173
"D49",1.93428757583484
"D5",1.16522476599642
"D51",2.23711164179057
"D52",1.8772873353469
"D6",2.53492420948552
"D61",3.1360744377407
"D62",3.0119299948499
"D7",1.43595811723485
"D71",2.74288049187254
"D72",2.4071460443695
"D73",2.47695254670453
"D74",2.37362503332818
"D75",2.52573778612752
"D76",2.58348832986505
"D8",1.78762252333178
"D81",2.27077913902102
"D82",2.35959229716502
"D83",2.15018373362065
"D9",1.06351337619149
"D91",2.61259627897664
"D92",2.03235126891014
