Year,Truck_MPG,Bus_MPG,Train_MPkWh,Bus_MPkWh
1975,5.1,4.2,0.098265896,4.2
1976,5.1,4.1,0.098265896,4.1
1977,5.1,4.1,0.098265896,4.1
1978,5.1,4,0.098265896,4
1979,5.1,3.9,0.098265896,3.9
1980,5.3,3.9,0.098265896,3.9
1981,5.1,3.8,0.098265896,3.8
1982,5.2,3.8,0.098265896,3.8
1983,5.3,3.7,0.098265896,3.7
1984,5.5,3.7,0.098265896,3.7
1985,5.6,3.6,0.098265896,3.6
1986,5.6,3.6,0.098265896,3.6
1987,5.7,3.7,0.096335079,3.7
1988,5.8,3.7,0.085596708,3.7
1989,5.8,3.7,0.088016529,3.7
1990,5.8,3.8,0.10125523,3.8
1991,5.7,3.8,0.100729927,3.8
1992,5.8,3.7,0.096296296,3.7
1993,5.8,3.8,0.098576512,3.8
1994,5.8,3.8,0.120567376,3.8
1995,5.8,3.9,0.120138889,3.9
1996,5.9,3.8,0.117133956,3.8
1997,6.1,3.8,0.114127424,3.8
1998,6.1,3.6,0.11496063,3.6
1999,6,3.7,0.1517,3.7
2000,6,3.6,0.1517,3.6
2001,6,4,0.1517,4
2002,5.9,4.3,0.1517,4.3
2003,5.9,4.5,0.1517,4.5
2004,5.7,4.5,0.1517,4.5
2005,5.6,4.7,0.1517,4.7
2006,5.6,4.6,0.1517,4.6
2007,5.6,4.5,0.1517,4.5
2008,5.6,4.4,0.1517,4.4
2009,5.6,4.3,0.1517,4.3
2010,5.6,4.3,0.1517,4.3
2011,5.6,4.3,0.1517,4.3
2012,5.6,4.4,0.156,4.4
2013,5.6,4.4,0.156,4.4
2014,5.6,4.5,0.156,4.5
2015,5.6,4.6,0.156,4.6
2016,5.6,4.7,0.156,4.7
2017,5.6,4.8,0.156,4.8
2018,5.6,4.9,0.156,4.9
2019,5.6,5,0.156,5
2020,5.6,5.5,0.16,5.5
2021,5.6,5.5,0.16,5.5
2022,5.6,5.5,0.16,5.5
2023,5.6,5.5,0.16,5.5
2024,5.6,5.5,0.16,5.5
2025,5.6,5.5,0.186,5.5
2026,5.6,6,0.186,6
2027,5.6,6,0.186,6
2028,5.6,6,0.186,6
2029,5.6,6,0.186,6
2030,5.6,6,0.218,6
2031,5.6,6.5,0.218,6.5
2032,5.6,6.5,0.218,6.5
2033,5.6,6.5,0.218,6.5
2034,5.6,6.5,0.218,6.5
2035,5.6,6.5,0.218,6.5
2036,5.6,7.5,0.218,7.5
2037,5.6,7.5,0.218,7.5
2038,5.6,7.5,0.218,7.5
2039,5.6,7.5,0.218,7.5
2040,5.6,7.5,0.218,7.5
2041,5.6,9.5,0.218,9.5
2042,5.6,9.5,0.218,9.5
2043,5.6,9.5,0.218,9.5
2044,5.6,9.5,0.218,9.5
2045,5.6,9.5,0.218,9.5
2046,5.6,11.5,0.218,11.5
2047,5.6,11.5,0.218,11.5
2048,5.6,11.5,0.218,11.5
2049,5.6,11.5,0.218,11.5
2050,5.6,11.5,0.218,11.5
